epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,611.178,0.59328,0.90421,0.88949,0.55929,0.61401,0.621,0.49765,0.669,0.90284,0.88271,9.37595e-05,9.37595e-05,9.37595e-05
54,621.663,0.61736,0.91701,0.89102,0.48032,0.63509,0.62051,0.50226,0.67158,0.89576,0.87972,9.05049e-05,9.05049e-05,9.05049e-05
55,632.363,0.59464,0.91484,0.88784,0.63299,0.55084,0.61365,0.49959,0.66141,0.8895,0.88034,8.72502e-05,8.72502e-05,8.72502e-05
56,642.924,0.60502,0.88945,0.88706,0.592,0.60304,0.62956,0.50525,0.65899,0.89234,0.87143,8.39956e-05,8.39956e-05,8.39956e-05
57,653.376,0.60318,0.88547,0.88078,0.67715,0.53709,0.6248,0.50247,0.6607,0.87315,0.8751,8.0741e-05,8.0741e-05,8.0741e-05
58,663.894,0.58729,0.88842,0.87895,0.57324,0.61339,0.62353,0.49866,0.66228,0.88799,0.87413,7.74864e-05,7.74864e-05,7.74864e-05
59,674.382,0.6091,0.89241,0.90085,0.54758,0.60035,0.61342,0.49546,0.66365,0.91149,0.87712,7.42317e-05,7.42317e-05,7.42317e-05
60,684.804,0.58462,0.83949,0.88597,0.61286,0.56252,0.63051,0.51175,0.66097,0.87195,0.87533,7.09771e-05,7.09771e-05,7.09771e-05
61,695.329,0.58145,0.82916,0.88758,0.56083,0.64019,0.63785,0.51024,0.65462,0.88052,0.87058,6.77225e-05,6.77225e-05,6.77225e-05
62,705.759,0.59867,0.84868,0.88351,0.59246,0.63509,0.62739,0.50256,0.65236,0.87954,0.87091,6.44679e-05,6.44679e-05,6.44679e-05
63,716.184,0.58433,0.8321,0.8826,0.58374,0.63868,0.62434,0.50232,0.65384,0.8856,0.87204,6.12132e-05,6.12132e-05,6.12132e-05
